fid,id,label1930,type1930,remark1930,label1882,type1882,remark1882,X_coord,Y_coord
269,,,,,Oud Bambey,,eerste maar lang verlaten vestiging Moravische broeders,526546.534366037,468747.443249302
270,,,,,Binnikwaai,,,526393.524517031,469622.803606673
271,,,,,Jinjee,,verlaten dorp,529048.193515248,472389.315974769
272,,,,,Aplesine,,,540179.376914404,498190.049261576
273,,,,,Birioedoe,,,552706.900580839,505124.559890773
274,,,,,Sisone,,,568536.572165939,528342.787443885
275,,,,,David,,,577122.156754468,527919.699741807
276,,,,,Kapasie,,,577658.755791251,530128.011162414
277,,,,,Ajoemaje,,,576946.730146289,530024.819039956
278,,,,,Kada,,,576503.004019718,535535.278379227
279,,,,,Bajapoedi,,,575904.48970946,533801.650721928
280,,,,,Frederiksdorp,,Districtscommissaris,572137.97723973,651626.416144788
281,,,,,Hernhutter kerk,kerk,,568257.953435299,653329.08616535
282,,,,,Hernhutter kerk,kerk,,585284.653640913,659107.845023013
283,,,,,Sparrepassi,,Aucaner dorp,645311.511274894,635074.399702479
284,,,,,Ste. Anne (Frans Guyana),,,681820.884200632,601144.829838197
285,,,,,Poeloe goedoe,,,642360.216572586,480554.515533452
286,,,,,Giwitappo of Teteloo,,,641410.84904597,475725.124202405
287,,,,,Abendanon,,,643598.522042085,471886.377246957
288,,,,,Bucanloo,,,643557.245193102,470400.410683558
289,,,,,Manlobbi,,,643227.030401235,468708.059875242
290,,Nieuw Amsterdam,District Commissaris,,Nieuw Amsterdam,,,565721.62991947,651435.484355052
291,,Pikien-kondre of Miranda,,,,,,599583.060360246,449773.726503844
292,,Affivisiti (Godo-holo),,,,,,599894.334043135,450147.623669602
293,,Sannetje (Godo-holo),,,,,,599893.859197901,450532.42109086
294,,Drietabbetje,,,,,,613298.206876542,455380.362483853
295,,Sanbindoni,,,,,,611104.955707127,454782.549485186
296,,Mansi,,,,,,614496.971948427,456087.220205077
297,,Piketi,,,,,,617528.908475604,456624.917860584
298,,Mooitaki,,,,,,615685.179278056,456222.585059187
299,,Seboewatra,,,,,,615339.214646788,456122.647698379
300,,Pauwie,,,,,,620456.233234373,462757.671469576
301,,Draai,,,,,,622439.002748478,463084.957891589
302,,Saye,,,,,,621690.922770467,463037.467512718
303,,Asogne kondre,,,,,,624822.255046215,465902.7787202
304,,Kiokondre,,,,,,624634.207798981,466649.090015422
305,,Manlobbi,,,,,,631846.778194304,471404.964633669
306,,Abendanon of Tabbetje,,,,,,632429.817271245,473888.455301772
307,,Poeloe goedoe,,,,,,638010.686026355,480562.94969017
308,,St. Paul (Frans Guyana),,,,,,646407.644898764,487257.81287508
309,,Armina,,,,,,646042.124039545,568645.486698405
310,,Mapagado,,,,,,648179.603734047,571945.284853584
311,,Onoribo,,plantation,,,,560630.351411297,620032.861304021
312,,Ongelijk,,,,,,558929.631090729,618341.802446238
313,,Overtoom,,,,,,557989.39508062,616973.91124002
314,,Topibo,,,,,,560693.020542146,615949.38870093
315,,Paubasoe,B,,,,,515933.157118087,546393.299372369
