fid,1930,WKT_geometry
53,0,"LineString (561039.56854322 604295.07526184, 561768.33993968 604476.20875088, 562301.69305222 604500.43675163, 562875.55901245 604242.90085069, 563129.52319455 604248.69407599, 564063.31637533 604631.65554562, 564363.63389864 604634.82607049, 565092.451995 604508.73866311, 565396.41668387 604449.84273505, 565704.43012228 604572.6108522, 565972.46437411 604559.33146089, 566112.34954796 604091.95793885, 566274.80563682 604031.18806971, 567133.95764506 603824.53016478, 567142.86048517 603433.16507139, 567248.94846792 603158.35577637, 567209.36770197 602753.42469106, 567325.46061978 602584.95066151, 567318.58135789 602397.33489187, 567392.16108018 602272.84056787, 567320.08662478 602210.42654527, 567240.19824323 601446.70647231, 566767.29009932 601065.57516992)"
54,0,"LineString (563720.71178857 654492.74979769, 563942.51519022 654274.59859774, 564309.50917051 653753.13090015, 564632.18339101 653427.61088384, 566291.83039218 653286.42049173, 566315.71575553 653460.84652032, 567022.59559492 653425.04174418, 567051.48672677 653676.70007641, 568557.06108273 653582.83082854, 568565.66425898 653089.95519149, 570090.96120326 652934.28409267, 570416.84677692 652422.08819646, 571392.01615255 652333.46145422, 571509.77449354 651906.70877467, 572406.65412059 651259.47202673, 573020.18452483 651239.10818476, 573114.1752515 650838.87062096, 574280.4206811 650840.58367766, 574262.75744262 649953.65752859, 574617.31614871 649934.98792983, 574635.46341871 649726.07945458, 575895.803315 649677.6465113, 575922.51728035 650233.11443944, 576326.63508535 650214.44441137, 576338.63722946 650357.58996259, 576659.08020762 650335.21756608, 576668.07160291 650532.17052649, 576985.24555692 650519.06298545, 576978.04629839 650667.77745563, 577638.337711 650665.11265641, 577663.32558223 650776.37605084, 579502.6953622 650666.58208526, 579512.77589485 650445.10358259, 580214.51337787 650355.84714291, 580251.15421101 650155.54762201, 580951.03767479 650053.8295983, 580976.96249975 649874.05839879, 581518.66185305 649815.15307516, 581511.65858673 649504.30028267, 581777.42136778 649469.57998626, 581779.9826208 649263.50676158, 581959.49554498 649244.88903282, 581957.64622911 648876.12316686, 582140.10284725 648866.87873697, 582215.68856595 649046.35027262, 582757.75987872 649084.81368058, 582845.00615176 648833.60905592, 583250.77721792 648847.94219572, 583295.92434011 649109.7439037, 583707.31746379 649632.73751043, 584028.6343046 650450.38862083, 584449.13667372 650451.51390599, 584471.3953861 650719.13070628, 584806.73757306 650733.27027393, 584824.88013968 650880.66608062, 585621.64815795 651109.73259686, 586097.22189706 651134.48999532, 586270.11324842 651621.17396254, 586641.52054629 651954.35876797, 587590.97150229 651914.99999705, 587648.16706746 652824.29084883)"
55,0,"LineString (351543.81985356 657539.43925581, 351677.44048267 659638.53737307, 352927.13088828 659132.10886519, 353618.51854448 658686.36740457, 354189.58724516 658369.03259979, 354669.36582264 658178.53961399, 355398.80985426 657926.1153709, 356081.39263227 657747.44849359, 357002.75459872 657655.81100253, 356939.78837355 655778.35846441, 357499.64049204 655773.17089687, 358254.28168927 655738.69785696, 358238.78731874 654727.51734562, 359312.05362269 654656.13941913, 359291.75213221 654335.73258877, 359946.18031034 654286.56321785, 359948.52702825 653914.76328843, 362444.9833939 653699.82166864)"
56,0,"LineString (347146.85226025 657388.0281009, 351543.81985356 657539.43925581, 353543.83544604 657624.43686214, 353618.51854448 658686.36740457)"
57,0,"LineString (418542.68247401 653321.08216462, 419714.49828746 652962.05629756, 421001.35185498 652818.79545012, 422906.25430166 652396.30750596, 424110.03377791 652027.87059884, 425860.80066765 651416.25387851, 427195.50666421 650905.09471229, 427448.51867884 650888.79568343, 427987.94852969 650825.94981411, 428250.4444218 650637.63661332, 428508.10681278 650546.86956014, 429812.82645429 650374.89291311, 430811.20583918 649841.84236473, 431536.85230453 649752.4517412, 432402.15992013 649311.81760177, 432565.62160931 648966.65262013, 433029.91737247 648713.7432708, 433412.51759772 648836.6950185, 434847.13977251 648567.31082376, 435773.41783967 648194.03011153, 436045.56937446 648505.36801027, 436821.45136758 648322.11506581, 437193.72357008 648119.38786426, 437876.32731104 648176.87657088, 438948.03872225 647779.20442611, 440335.46769403 647333.18318985, 441291.27205631 647137.37849079, 441974.04182803 646918.4756897, 442219.54580121 646882.75878321, 442672.13428411 646661.61896397, 443286.74146014 646524.24876717, 444412.44668196 646275.64394832, 444889.91278189 646177.27589338, 445199.14109584 646044.64989373)"
58,0,"LineString (536918.94039711 637386.33795221, 540519.8661102 635216.07545812, 541534.42245802 635547.04192931, 542470.32200138 635867.745955, 542577.87380043 635961.49953854, 542671.36423602 636064.63673318, 542791.55414009 636274.65466591, 544308.13282614 640174.13452559, 544776.3463584 641387.94175731, 546056.59129522 641593.61954033, 547070.49557201 641754.58332961, 547450.3151237 641766.06197576, 547795.09766439 641714.07714139, 549129.08476986 641392.45106239, 549705.27416225 641256.46512713, 549931.53348006 641200.33992521)"
59,0,"LineString (427987.94852969 650825.94981411, 428073.33317893 654088.28273693)"
60,0,"LineString (566803.79126123 651578.570513, 565925.58417705 651678.61613505)"
61,0,"LineString (565642.46663572 650938.9099532, 565583.76408877 651453.69800949, 565721.62991947 651435.48435505)"
62,0,"LineString (357499.64049204 655773.17089687, 357577.36108036 657491.83168795)"
63,0,"LineString (558623.22964876 617322.36903913, 558186.94162559 617016.37573766, 558157.421045 616835.2749266, 558111.48312015 616545.83417075, 557874.56953205 616209.91011248, 557142.55177385 616010.99080677, 556851.60756265 616108.69380789, 554658.09657735 615516.02941396, 554160.75379804 615525.99209646, 553383.15659877 615214.11775883, 552868.68339121 615018.69926557, 552434.04380613 615174.76402641)"
