fid,label1930,main_body_water,label1882,alt_label,wkt_geometry
153,Siparipabo Kreek,Suriname,Siparipabo Kreek,,"LineString (566794.08817713 601282.63474895, 566854.58486155 601656.95905312, 566893.9264906 601896.26468456, 566917.341761 602111.73109529, 566895.591332 602659.725309, 566922.51648002 603138.44918101, 566877.40882122 603528.03404439, 567094.39160841 603782.09367302, 567133.95764506 603824.53016478, 567230.6859378 603975.89657567, 567358.41056374 604237.40159741, 567533.65250769 604489.34904461, 567693.1864784 604815.77672429, 567848.15182677 605173.12812304, 567894.68099884 605754.68582081, 567938.37906549 606125.37624846, 568047.03967434 606338.87292248, 568421.39834848 606670.32980032, 568582.02098808 606876.51150847, 568878.28252617 607428.02366937, 569174.06246709 607760.3566881, 569394.47253944 607829.33920684, 569721.48573121 607881.29505936, 570237.25902013 607939.15983433, 570349.48414496 608066.85702456, 570395.25599674 608287.41930035, 570622.00249306 608422.78885703, 571012.75535033 608621.87697583, 571016.06572951 608927.75021146, 571097.83401497 609061.64542621, 571231.98539709 609243.12691389, 571523.53781456 609423.7225822, 571666.84855406 609709.94125529, 571883.68752375 610216.67936715, 572019.08937527 610586.58551901)"
154,Monki Kreek,Suriname,Monki Kreek,,"LineString (568058.57455749 585314.18078341, 567563.71609057 585589.26017157, 567392.82128452 586052.15368893, 567257.14713074 586436.67254435, 566999.35203959 587028.17124426, 566705.68874959 587368.47197353, 566527.59195332 587597.49551633)"
157,Strokka Kreek,Suriname,Strokka Kreek,,"LineString (568095.98356495 571349.8230468, 568249.86938904 571406.43729352, 568618.62467762 571607.19830933, 569031.70115213 571769.16340865, 569305.26886703 571796.50696251, 569567.8733942 571897.81250573, 569791.05635576 572112.5254034)"
158,Jandee Kreek,Suriname,Jandee Kreek,,"LineString (567730.46526722 568049.79135978, 568390.00932743 568542.76999304, 568517.76502488 568611.89919723)"
159,Mama Kreek,Suriname,Mama Kreek,,"LineString (567470.13790652 569709.13714434, 567800.32165708 569863.39261295, 568132.32997305 570098.71664473, 568248.70644842 570173.28932677)"
161,,Suriname,,,"LineString (568145.5690176 609415.1189052, 568611.87807869 609627.60001805, 568807.40958726 609695.84246289, 569423.6502831 610082.2600727, 569636.19033181 610235.48221622, 569965.28171951 610221.88217494, 570162.7496025 610360.73945946, 570255.72881152 610575.15029871, 570648.17286789 610810.90861034, 570837.67560387 611036.67645044)"
162,Fernoot Kreek,Suriname,Fernoot Kreek,,"LineString (568083.75543967 567525.06984681, 568337.08679774 567788.22248121, 568706.32458603 568245.22976876, 568775.68515273 568335.10207908)"
167,,Suriname,,,"LineString (569014.56210247 595452.36944817, 568846.21424604 595392.88496937, 568616.35982426 595314.12300187, 568388.07044413 595211.09503689, 568126.95023025 594884.92248234)"
168,Voman Kreek,Suriname,Voman Kreek,,"LineString (571402.41342824 567646.67239888, 571815.91634175 568153.61923383, 571862.00481301 568837.92417772, 571823.79427649 568995.23609176)"
172,Blakke Kreek,Para,Blakke Kreek,,"LineString (552536.08563097 595680.40882231, 552407.9192732 595130.43580584, 552184.08604889 594379.6154031, 551943.75576673 593898.14823753, 551653.08986537 593491.89131983, 551398.44688671 593174.98579876)"
173,,Suriname,,,"LineString (550922.36456408 641853.61182567, 550937.70908996 641314.86741142, 550988.37604674 640842.40959566)"
176,Hoy Kreek,Para,Hoij Kreek,,"LineString (558125.54275448 618221.25443564, 557843.46727545 618219.55484865, 557630.11354093 618436.67877349, 557528.82347434 618236.6311323, 557260.11034766 618115.87461025, 556899.86080184 618325.03241752, 556605.78215111 618568.717737, 556500.22212615 618513.9484628, 556486.93393916 618358.69144083, 556324.78659235 618184.35671776, 556205.41072654 617909.2314852, 556077.94693674 617751.39960954, 555898.93846639 617597.22224014, 555596.43193511 617572.57211376, 555383.34687985 617767.15781919, 555148.64117655 617914.59177973, 554839.77657733 618062.34332133, 554437.96545268 618099.01883986)"
180,,Suriname,,,"LineString (555949.71926108 578947.47226939, 556153.61335087 579003.22090523, 556345.65643344 579029.15613108, 556557.41323698 579126.59274354, 556806.46021078 579227.41896042)"
189,,Suriname,,,"LineString (558386.58161113 580778.36786736, 558756.15020891 580662.30447664, 559000.41262458 580521.48544675, 559141.16274258 580307.93030927, 559218.90224241 580194.83316972)"
190,,Para,Makka Kreek,,"LineString (560368.56578097 632773.50725829, 560170.0289767 632695.88843297, 559009.55255162 632685.30441804, 558799.97998764 632501.09902226, 558595.23036357 632585.96496615, 558530.71362429 632666.99067704, 558417.5962529 632715.77658801, 558336.97071104 632825.95536755, 558262.83022521 632942.58958996)"
191,Carolina Kreek,Para,Carolina Kreek,,"LineString (557712.61221633 598404.21959622, 557871.64189798 598324.93992799, 557945.83213751 598224.49040931, 558042.7382005 598156.34296411, 558039.15982656 597997.8297661, 558214.55352773 597880.22375647, 558423.62598291 597760.83380124, 558767.5123068 597346.28737507, 559034.41099666 597090.51708873, 559024.89423035 596896.90744466, 559104.42586217 596588.78602919, 559242.70424359 596239.77727759, 559218.22090668 595610.65845241, 559175.54060222 595100.51217375, 559329.7867497 594915.00284227, 559828.93236855 594608.9639959, 560028.55060989 594258.51287759, 560079.46967758 593678.37315074, 560173.31535716 593032.7049808, 560264.31836617 592569.28634567)"
192,,Para,,,"LineString (559235.40269393 618453.41499407, 559232.83490183 618774.67426449)"
194,Pararac Kreek,Para,Pararac Kreek,,"LineString (561834.26921393 622870.60211731, 561504.48618416 622963.00732348, 561349.35629046 623031.29391569, 561217.09074625 623196.58152022, 561096.07132309 623327.87550854, 560945.77199304 623386.44624263, 560719.10524475 623293.14019329, 560660.53596007 623297.30572267, 560311.48356827 623448.25687904, 559942.90335152 623546.14180226, 559564.58819805 623631.10854646, 559218.49199198 623657.77081613)"
195,,Suriname,,,"LineString (559466.82395359 573979.9512247, 559392.55473753 574046.42524136, 559036.91985609 574155.54068319)"
197,,Para,,,"LineString (560368.1877551 633441.33805099, 560119.22013874 633500.14074996, 560020.14110538 633553.27512995, 560007.14192865 633652.50586014)"
198,,Para,,,"LineString (560994.49614268 631546.39433233, 560821.15798586 631472.39011672, 560809.2946797 631342.69529723, 560870.4874608 631222.85712164, 560846.74970933 631095.36933534, 560734.12648549 631009.65280085, 560514.1561636 631016.62556437, 560264.9264086 631162.83270722, 560179.03324282 631256.50334665, 560029.53401169 631324.82312157, 559790.63251538 631343.22149208, 559683.3095467 631267.62678106)"
200,,Suriname,,,"LineString (561211.68753618 575189.60743971, 561008.0398299 575267.67365958, 560804.3043789 575303.68403451, 560639.36273626 575326.67328011)"
205,Grand Kreek,Saramacca,Grand Kreek,,"LineString (538701.78808504 622631.65316365, 538587.19642151 622916.59419236, 538488.41447389 623147.28833037, 538359.19453378 623418.79163697, 538217.67676261 623583.97249293, 538123.21118609 623824.12800053, 537940.20354258 624149.78758832, 537566.38098319 624598.81033314, 537388.22238199 624785.62938757, 537266.14498375 624887.43671065)"
209,,Saramacca,,,"LineString (542093.03442792 640535.81540041, 540005.78754733 641802.50280836)"
210,Kromhoekoe Kreek,Saramacca,Kromhoekoe Kreek,,"LineString (540390.71689191 625309.05020876, 540128.98883451 625389.00912272, 539898.95307543 625445.08647854, 539502.14034335 625453.92162635, 539041.90587298 625494.64709849, 538506.78923775 625551.11228292, 538184.90994838 625568.0179954, 537769.35924588 625653.07843135, 537675.61490412 625688.8797255)"
211,,Saramacca,,,"LineString (539266.65245409 627776.61909873, 539137.18795582 627754.26596811, 538793.47145272 627676.48748829, 538506.0633098 627652.16924047, 538357.39968145 627723.68482689, 538118.19066135 627814.81843229, 537723.9085479 627860.12788835, 537577.96994766 627909.16546148)"
214,,Saramacca,,,"LineString (542981.37603122 642923.21739236, 540936.71747076 644343.19029482)"
216,,Suriname,,,"LineString (544695.00843703 643290.04310237, 544693.23178166 643022.41520993, 544715.87268426 642747.92141179, 544721.91844569 642338.8467156, 544776.3463584 641387.94175731)"
219,,Saramacca,,,"LineString (542436.77424449 641153.37522535, 544308.13282614 640174.13452559)"
220,,Suriname,,,"LineString (545994.72869271 643034.65654151, 545983.32669454 643209.69321487, 545978.53660538 643408.36291933, 545836.96592051 646162.46207199)"
221,,Suriname,,,"LineString (545365.27255077 643078.47634721, 545345.95520454 643349.79005514, 545221.43814381 645777.72717332)"
222,Tawaycoera Kreek,Para,Tawaycoera Kreek,,"LineString (551558.82431396 608115.27370263, 551103.71168993 608329.78973976, 550765.12826152 608594.4087249, 550410.25283958 609085.01136606, 549806.19427133 610079.78285305, 549655.6325984 610388.86744254, 549436.2827824 610580.09423496, 549208.66205489 610598.68951201, 548986.34118371 610431.89445333, 548852.68450559 610305.53466714, 548671.14082938 610137.70367803, 548454.59425459 609851.36040713, 548377.42864526 609734.6407838, 548258.53599085 609342.4543894, 548121.72807063 609095.65006329, 548043.90483044 609006.53778509, 547868.81308659 608849.81783852, 547690.30907797 608649.03548512, 547538.30182428 608491.627366, 547501.02431746 608285.0108712, 547507.66105221 607826.18688008, 547544.46537594 607176.12602887, 547498.19532282 606719.28946796, 547140.62759987 606220.08693252, 546331.82344479 605152.37513904, 546019.29430287 604454.63644401, 545428.16885873 603596.13823915, 545153.20478821 603388.32473716, 544874.4495325 603149.52340976, 544466.59445259 603053.35580065)"
223,,Suriname,,,"LineString (544616.58493963 645889.68365596, 544693.98941034 643613.9243709, 544695.00843703 643290.04310237)"
224,,Suriname,,,"LineString (547247.91009568 642721.2271809, 547236.48547456 643097.95304622, 547117.77495388 645161.32759122)"
225,Tout-lui-faut Kanaal,Suriname,,,"LineString (546492.43048518 636219.89190663, 546681.08737951 636233.09612398, 546848.4035873 636261.13033213, 546977.4926202 636121.71716504, 547080.55083139 635917.65904502, 547348.85912746 635823.21919608, 547533.12572763 635761.32539786, 547659.48576716 635841.9156757, 547892.13905348 635718.44098406, 548146.30918179 635542.05911001, 548393.32507592 635281.17666925, 548507.09773466 635058.69573439, 548612.71529507 634906.65671778, 548703.53509642 634899.27665171, 548783.41498374 635001.40382236, 548938.64570802 634975.1651486, 548964.29688183 634874.81409562, 549090.04634343 634690.11713177, 549369.27398712 634491.64347595, 549568.18819222 634397.84857966, 549745.89407985 634297.14865381, 549896.20096078 634240.18720162, 550035.08430734 634139.57661971, 550183.64722328 634027.62067056, 550194.52679872 633834.29164645, 550150.63451275 633739.76232839, 550215.19002422 633674.90994262, 550316.70932009 633717.76523479, 550494.61369158 633774.49878477, 550694.31794309 633812.92478639, 550868.78070886 633708.99787751, 550946.16550142 633595.58815546, 551003.67926986 633281.64136977, 551220.31069284 633226.14628627, 551594.55403675 632772.36067468, 551955.58649827 632705.59841947, 553794.00898972 632566.74162432, 554066.25094831 632779.63934213, 554074.17453624 633413.71429933, 554132.29782563 633469.3590889, 554710.84187743 633931.70462165, 555057.1928107 634238.6191756, 556916.38398227 635742.32714334, 559520.78465359 638012.50314437, 560187.61123193 638614.67323686)"
226,,Suriname,,,"LineString (546659.57351481 642810.90261343, 546638.03501811 643144.47432216, 546457.44449052 646263.56621226)"
228,,Suriname,,,"LineString (549113.9907967 642389.48062824, 549100.24379803 642896.40138775, 549088.51329977 643153.06721916, 549050.95804081 644522.70758177)"
