similarity,name1,name2,totalCount,stmId,plantationName,locationDescription,district
0.857,"Elisabethshof","Elisabethshoop",2,stm-00659,"Elisabethshoop","Beneden-Commewijne","Divisie Beneden-Cottica"
0.857,"Monfort","Monsort",3,stm-02461,"Monfort","Boven-Cottica",""
0.857,"Monfort","Monsort",3,stm-01115,"Monsort","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.857,"Monfort","Monsort",3,stm-01270,"Monsort","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.857,"Vlijt en Trouw","Vlugt en Trouw",2,stm-00833,"Vlijt en Trouw","Tapoeripa Kreek","Divisie Matapplea"
0.857,"Vlijt en Trouw","Vlugt en Trouw",2,stm-01102,"Vlugt en Trouw","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.857,"Wajamoe","Wayamoe",2,stm-02296,"Wajamoe","Wayamoe Kreek",""
0.857,"Wajamoe","Wayamoe",2,stm-01455,"Wayamoe","Wayamoe Kreek","Divisie Boven-Cottica en Perica"
0.846,"Frederiksdorp","Frederikshoop",2,stm-00653,"Frederiksdorp","Beneden-Commewijne","Divisie Beneden-Cottica"
0.846,"Frederiksdorp","Frederikshoop",2,stm-01385,"Frederikshoop","Pad van Wanica","Divisie Para"
0.846,"Garcia's kamp","Garciaskamp",2,stm-01468,"Garcia's kamp","Marechals Kreek",""
0.846,"Garcia's kamp","Garciaskamp",2,stm-02437,"Garciaskamp","Suriname","Divisie Boven-Suriname en Thorarica"
0.833,"De Drie Gebroeders","De twee Gebroeders",4,stm-00876,"De Drie Gebroeders","Suriname","Divisie Boven-Suriname en Thorarica"
0.833,"De Drie Gebroeders","De twee Gebroeders",4,stm-00877,"De Drie Gebroeders","",""
0.833,"De Drie Gebroeders","De twee Gebroeders",4,stm-01332,"De Drie Gebroeders","Suriname","Divisie Boven-Suriname en Thorarica"
0.833,"De Drie Gebroeders","De twee Gebroeders",4,stm-00791,"De twee Gebroeders","Mot Kreek","Divisie Boven-Cottica en Perica"
0.833,"De Drie Gebroeders","Drie Gebroeders",4,stm-00876,"De Drie Gebroeders","Suriname","Divisie Boven-Suriname en Thorarica"
0.833,"De Drie Gebroeders","Drie Gebroeders",4,stm-00877,"De Drie Gebroeders","",""
