qid;map_id;label_on_map;has_polygon
Q59116846;MAP_1860-79;l'Assistance;false
Q59134218;MAP_1930;Zonnebloem;true
Q59134218;MAP_1860-79;Zonnebloem;false
Q59132823;MAP_1930;Nieuw Acconoribo;true
Q59132823;MAP_1860-79;Nieuw Acconoribo;false
Q59115152;MAP_1930;Anna Catharina;true
Q59115152;MAP_1860-79;Anna Catharina;false
Q59116871;MAP_1930;La Jalousie;true
Q59116871;MAP_1860-79;La Jalousie;false
Q59134023;MAP_1930;Vossenburg;true
Q59134023;MAP_1860-79;Vossenburg;false
Q59115574;MAP_1930;Fairfield;true
Q59115574;MAP_1860-79;Fairfield;false
Q124831182;MAP_1930;La Libert�;true
Q124831182;MAP_1860-79;La Libert�;false
Q59133068;MAP_1930;Philipsdaal;true
Q59133068;MAP_1860-79;Philipsdaal;false
Q59115223;MAP_1930;Bergerac;true
Q59115223;MAP_1860-79;Bergerac;false
Q59115315;MAP_1930;Broedersgift;true
Q59115315;MAP_1860-79;Broeders gift;false
Q59115312;MAP_1930;Breukelerwaard;true
Q59115312;MAP_1860-79;Breukelerwaard;false
Q59119431;MAP_1930;Misluktbedrog;true
Q59119431;MAP_1860-79;Misluktbedrog;false
Q59133961;MAP_1930;Twijfelachtig;true
Q59133961;MAP_1860-79;Twijfelachtig;false
Q59116847;MAP_1930;L'Aventure;true
Q59116847;MAP_1860-79;L'Aventure;false
Q59132848;MAP_1930;Nieuw Levant;true
Q59132848;MAP_1860-79;Nieuw Levant;false
Q59115282;MAP_1930;Boksweide;true
Q59115282;MAP_1860-79;Boksweide;false
Q59116829;MAP_1930;Kleinslust;true
Q59116829;MAP_1860-79;Kleinslust;false
Q124806237;MAP_1930;Meerzorg;true
Q124806237;MAP_1860-79;Meerzorg;false
Q59134215;MAP_1930;Somerzorg;true
Q59134215;MAP_1860-79;Somerzorg;false
Q59118005;MAP_1930;De Merveille;true
Q59118005;MAP_1860-79;De Merveille;false
Q59115689;MAP_1930;Heijsvliet;true
Q59115689;MAP_1860-79;Heijsvliet;false
Q59115443;MAP_1930;De Eenzaamheid;true
Q59115443;MAP_1860-79;De Eenzaamheid;false
Q59115260;MAP_1930;Bleijendaal;true
Q59115260;MAP_1860-79;Bleijendaal;false
Q59134028;MAP_1930;Vreeland;true
Q59134028;MAP_1860-79;Vreeland;false
Q2445362;MAP_1930;Laarwijk;true
Q2445362;MAP_1860-79;Laarwijk;false
Q59117032;MAP_1930;Maagdenburg;true
Q59117032;MAP_1860-79;Maagdenburg;false
Q135395263;MAP_1930;Richelieu;true
Q135395263;MAP_1860-79;Richelieu;false
Q135395737;MAP_1930;Mon Repos;true
Q135395737;MAP_1860-79;Mon Repos;false
Q124827980;MAP_1930;De Hoop;true
Q124827980;MAP_1860-79;De Hoop;false
Q59133064;MAP_1930;Petersburg;true
Q59133064;MAP_1860-79;Petersburg;false
Q59133111;MAP_1930;Puttenzorg;true
Q59133111;MAP_1860-79;Puttenzorg;false
Q59115179;MAP_1930;Aurora;true
Q59115179;MAP_1860-79;Aurora;false
Q59115214;MAP_1930;Bel a Soir;true
Q59115214;MAP_1860-79;Bel a Soir;false
Q124831185;MAP_1930;La Paix;true
Q124831185;MAP_1860-79;La Palix;false
Q2743365;MAP_1930;Schaapstede;true
Q2743365;MAP_1860-79;Schaapstede;false
Q2700438;MAP_1930;De Goede Vriendschap;true
Q2700438;MAP_1860-79;De Goede Vriendschap;false
Q59133157;MAP_1930;Rijnberk;true
Q59133157;MAP_1860-79;Rijnberk;false
Q2183731;MAP_1930;Kroonenbrug;true
Q2183731;MAP_1860-79;Kroonenbrug;false
Q59115734;MAP_1930;Johan en Margaretha;true
Q59115734;MAP_1860-79;Johan en Margaretha;false
Q4968178;MAP_1930;Frederiksdorp;true
Q4968178;MAP_1860-79;Frederiksdorp;false
Q2238358;MAP_1930;Guadeloupe;true
Q2238358;MAP_1860-79;Guadeloupe;false
Q2042290;MAP_1930;Marienbosch;true
Q2042290;MAP_1860-79;Marienbosch;false
Q2386590;MAP_1930;Johannesburg;true
Q2386590;MAP_1860-79;Johannesburg;false
Q2055473;MAP_1930;Maasstroom;true
Q2055473;MAP_1860-79;Maasstroom;false
Q2413861;MAP_1930;Berlijn;true
Q2413861;MAP_1860-79;Berlijn;false
Q2439396;MAP_1930;Elisabethshoop;true
Q2439396;MAP_1860-79;Elisabethshoop;false
Q59116956;MAP_1930;Leyerdorp;true
Q59116956;MAP_1860-79;Andreesgift;false
Q59115149;MAP_1930;Andreesgift;true
Q59115149;MAP_1860-79;Pieterszorg;false
Q2321835;MAP_1930;Pieterszorg;true
Q2321835;MAP_1860-79;Einde rust;false
Q59115545;MAP_1930;Einde Rust;true
Q59115545;MAP_1860-79;Lust tot Rust;false
Q19974104;MAP_1930;Reijnsdorp;true
Q19974104;MAP_1860-79;Reijnsdorp;false
Q3964207;MAP_1930;Hecht en Sterk;true
Q3964207;MAP_1860-79;Hecht en Sterk;false
Q2520488;MAP_1930;La Singularit�;true
Q2520488;MAP_1860-79;La Singularit�;false
Q2113841;MAP_1930;Zorg en Hoop;true
Q2113841;MAP_1860-79;Zorg en Hoop;false
Q59115408;MAP_1930;Cornelia'sburg;true
Q59115408;MAP_1860-79;Cornelia'sburg;false
Q19818810;MAP_1930;Reijnsfort;true
Q19818810;MAP_1860-79;Reijnsfort;false
Q59115220;MAP_1930;Bent's hoop;true
Q59115220;MAP_1860-79;Bent's hoop;false
Q59115395;MAP_1930;Clifford Kocqshoven;true
Q59115395;MAP_1860-79;Clifford Kocqshoven;false
Q2804081;MAP_1930;Campenburg;true
Q2804081;MAP_1860-79;Campenburg;false
Q59116803;MAP_1930;Killenstein;true
Q59116803;MAP_1860-79;Killenstein;false
Q2747001;MAP_1930;Nut en Schadelijk;true
Q2747001;MAP_1860-79;Nut en Schadelijk;false
Q59133089;MAP_1930;Ponthieu;true
Q59133089;MAP_1860-79;Ponthieu;false
Q2638795;MAP_1930;Brouwerslust;true
Q2638795;MAP_1860-79;Brouwerslust;false
Q3143074;MAP_1930;Mon Souci;true
Q3143074;MAP_1860-79;Mon Souci;false
Q13427514;MAP_1930;t Vertrouwen;true
Q13427514;MAP_1860-79;t Vertrouwen;false
Q2356001;MAP_1930;Frederiksburg;true
Q2356001;MAP_1860-79;Frederiksburg;false
Q59116818;MAP_1930;Klein Lunenburg;true
Q59116818;MAP_1860-79;Klein Lunenburg;false
Q19787475;MAP_1930;Frederikslust;true
Q19787475;MAP_1860-79;Frederikslust;false
Q59115688;MAP_1930;De Herstelling;true
Q59115688;MAP_1860-79;De Herstelling;false
Q124823336;MAP_1930;Broedershoop;true
Q124823336;MAP_1860-79;Broedershoop;false
Q2649101;MAP_1930;Barbados;true
Q2649101;MAP_1860-79;Barbados;false
Q59115530;MAP_1930;Echtensrots;true
Q59115530;MAP_1860-79;Echtensrots;false
Q59115157;MAP_1930;Anna's zorg;true
Q59115157;MAP_1860-79;Anna's zorg;false
Q59115720;MAP_1930;Jacoba's daal;true
Q59115720;MAP_1860-79;Jacoba's daal;false
Q59132850;MAP_1930;Nieuw Meerzorg;true
Q59132850;MAP_1860-79;Nieuw Meerzorg;false
Q124825047;MAP_1930;Constantia;true
Q124825047;MAP_1860-79;Constantia;false
Q2646534;MAP_1930;Saphir;true
Q2646534;MAP_1860-79;Saphir;false
Q124831564;MAP_1930;Maria Petronella en Johanna Maria;true
Q124831564;MAP_1860-79;Maria Petronella en Johanna Maria;false
Q2643199;MAP_1930;Picardie;true
Q2643199;MAP_1860-79;Picardie;false
Q124808303;MAP_1930;Welgevallen;true
Q124808303;MAP_1860-79;Welgevallen;false
Q3262071;MAP_1930;Purmerend;true
