ID	Label	Title	Citation (MLA)	Licence	Makers	Year of publication	Publisher	Published (Location and other publication information)	Language	Remarks	Scans	Holding archive	Handle	IIIF manifest	IIIF Info URL	Allmaps Geo 1	Allmaps Geo 2
21	Nieuwe specialkaart van de colonie Suriname [...]	Nieuwe specialkaart van de colonie Suriname :, met de tot culture gebragt zĳnde landen en plantagien : eerbiedigst opgedragen aan alle geinteresseerdens op en ingezetenen der gemelde colonie, door I.H. Moseberg, landm. in voornoemde colonie	Nieuwe Specialkaart van de Colonie Suriname :, Met de Tot Culture Gebragt Zĳnde Landen En Plantagien : Eerbiedigst Opgedragen Aan Alle Geinteresseerdens Op En Ingezetenen Der Gemelde Colonie, Door I.H. Moseberg, Landm. In Voornoemde Colonie. [S.l., s.n.], 1801.		J. H. Moseberg	1801		[S.l., s.n.]			4	UB Amsterdam	https://hdl.handle.net/11245/3.38625	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38625/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!9!1!9!990006509190205131!SURI01_Kaartenzl-101-12-15-A-D_001.jpg/info.json	https://annotations.allmaps.org/maps/3fba2200df3c3238
22	Platte grond van de stad Paramaribo	Platte grond van de stad Paramaribo :, zoo verre als dezelve tot het jaar 1804 door het Gouvernement aldaar is opgestelt /, geteekend door A.H. Hiemcke ; J.G. Visser sculp. Amst.m.	Platte Grond van de Stad Paramaribo :, Zoo Verre Als Dezelve Tot Het Jaar 1804 Door Het Gouvernement Aldaar Is Opgestelt /, Geteekend Door A.H. Hiemcke ; J.G. Visser Sculp. Amst.M. 1804.		A. H. Hiemcke, J. G. Visser	1804					1	UB Amsterdam	https://hdl.handle.net/11245/3.1212	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_1212/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!0!9!0!990009780900205131!61-35-17.jpg/info.json
23	Carte de la Guiane Française & Hollandaise		Carte de La Guiane Française & Hollandaise. 1800.			1805				tussen 1792 en 1805	1	UB Amsterdam	https://hdl.handle.net/11245/3.38589	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38589/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!6!2!2!990009572260205131!SURI01_Kaartenzl-104-08-03.jpg/info.json
24	Kaart van het bebouwde gedeelte van Surinamen [...]	Kaart van het bebouwde gedeelte van Surinamen, gegraveerd door C. van Baarsel en Zoon	Kaart van Het Bebouwde Gedeelte van Surinamen, Gegraveerd Door C. van Baarsel En Zoon. [’s-Gravenhage], Amsterdam, [Gebroeders Van Cleef], 1817.		J. van den Bosch, C. van Baarsel en Zoon	1817	Gebroeders Van Cleef	['s-Gravenhage], Amsterdam, [Gebroeders Van Cleef] Cleef, Gebroeders van 's-Gravenhage ; Amsterdam (1807-1870)			1	UB Amsterdam	https://hdl.handle.net/11245/3.38598	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38598/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!8!4!1!990009591480205131!SURI01_Kaartenzl-108-04-07.jpg/info.json
25	Generale kaart der kolonie Suriname	Generale kaart der kolonie Suriname :, hoofdzakelijk voorstellende de tegenwoordige bebouwing dier kolonie /, vervaardigd naar vroegere en eigene opmetingen tot het jaar 1832 door den eersten luitenant der artillerie en geadmitteerden landmeter in voornoemde kolonie Mabé ; Dl. Veelwaard en Zoon sculpt. 1835.	Generale Kaart Der Kolonie Suriname :, Hoofdzakelijk Voorstellende de Tegenwoordige Bebouwing Dier Kolonie /, Vervaardigd Naar Vroegere En Eigene Opmetingen Tot Het Jaar 1832 Door Den Eersten Luitenant Der Artillerie En Geadmitteerden Landmeter in Voornoemde Kolonie Mabé ; Dl. Veelwaard En Zoon Sculpt. 1835. [Groningen] :, [H. Eekhoff Hz.], 1835.		Mabé. Teenstra, Dl. Veelwaard en Zoon. Eekhoff Hz., Harmannus. 	1835	[Groningen] :, [H. Eekhoff Hz.], Eekhoff Hz., Harmannus Groningen (1799-1849)				1	UB Amsterdam	https://hdl.handle.net/11245/3.38606	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38606/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!2!8!2!990009612820205131!SURI01_Kaartenzl-33-24-66.jpg/info.json
26	Plan of Paramaribo	Plan of Paramaribo (Capital) /, drawn by J. Bartholomew Junr. F.R.G.S. ; engraved by J. Bartholomew.	Plan of Paramaribo (Capital) /, Drawn by J. Bartholomew Junr. F.R.G.S. ; Engraved by J. Bartholomew. London :, A. Fullarton & Co., 1845.		J. Junr. Bartholomew	1845	A. Fullarton & Co.	London :, A. Fullarton & Co.,			1	UB Amsterdam	https://hdl.handle.net/11245/3.38617	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38617/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!1!0!0!990009850010205131!SURI01_Kaartenzl-104-07-31.jpg/info.json
27	Figuratieve plattegrond der stad Paramaribo	Figuratieve plattegrond der stad Paramaribo (kolonie Suriname, Zuid-Amerika) /, door A.J. Meyer, ambtenaar bij de belastingen.	Figuratieve Plattegrond Der Stad Paramaribo (Kolonie Suriname, Zuid-Amerika) /, Door A.J. Meyer, Ambtenaar Bij de Belastingen. Paramaribo :, Meyer, 1885.		A.J. Meyer	1885	Paramaribo :, Meyer, (Amsterdam :, Faddegon)				9	UB Amsterdam	https://hdl.handle.net/11245/3.39624	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39624/manifest/	https://images.uba.uva.nl/iiif/2/default!1!3!1!990006520920205131!hb-kzl-108-03-21-1.jpg/info.json
28	Suriname	Suriname /, geogr. lit. v. E. de Geest.	Suriname /, Geogr. Lit. V. E. De Geest. Amsterdam :, Seyffardt’s Boekhandel, 1900.		Evert de Geest	1900	Seyffardt's Boekhandel	Amsterdam			1	UB Amsterdam	https://hdl.handle.net/11245/3.38612	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38612/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!2!0!0!990009640020205131!SURI01_Kaartenzl-63-07-08.jpg/info.json
29	Schetskaart aangevende de in verschillende tractaten en uitspraken vastgestelde grenzen der 3 Guyana's	Schetskaart aangevende de in verschillende tractaten en uitspraken vastgestelde grenzen der 3 Guyana's en de uitkomsten van de aardrijkskundige onderzoekingen.	Schetskaart Aangevende de in Verschillende Tractaten En Uitspraken Vastgestelde Grenzen Der 3 Guyana’s En de Uitkomsten van de Aardrijkskundige Onderzoekingen. (Den Haag :, J. Smulders & Co.), 1908.		J. Smulders & Co.	1908	J. Smulders & Co.	Den Haag			1	UB Amsterdam	https://hdl.handle.net/11245/3.38603	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38603/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!6!1!4!990009794160205131!SURI01_Kaartenzl-30-29-48.jpg/info.json
30	Nieuwe Kaart van Suriname	Nieuwe Kaart van Suriname :, vertonende de stromen en land-streken van Suriname, Comowini, Cottica, en Marawini, gelegen in Zuid America op de kusten van Caribana. 6 gr. benoorden de Linie Equinoct. met naauwkeurige aanwijzinge van alle de steden, sterktens en plantagien mitsgaders de diepte der stromen en banken volgens de nieuwste waarnemingen.	Nieuwe Kaart van Suriname :, Vertonende de Stromen En Land-Streken van Suriname, Comowini, Cottica, En Marawini, Gelegen in Zuid America Op de Kusten van Caribana. 6 Gr. Benoorden de Linie Equinoct. Met Naauwkeurige Aanwijzinge van Alle de Steden, Sterktens En Plantagien Mitsgaders de Diepte Der Stromen En Banken Volgens de Nieuwste Waarnemingen. T Amsterdam :, By J. Ottens, 1718.		Joachim Ottens	1718	Joachim Ottens	T Amsterdam :, By J. Ottens, Ottens, Joachim Amsterdam (1690-1719)			1	UB Amsterdam	https://hdl.handle.net/11245/3.38608	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38608/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!1!0!6!990009566010205131!SURI01_Kaartenzl-33-24-69.jpg/info.json
